"276725";"034545104X";"0"
"276725";"0155061224";"4"
"276725";"052165615X";"3"
"276726";"052165615X";"1"
"276726";"0155061224";"5"
"276726";"0446520802";"5"
"276727";"0446520802";"0"
"276729";"052165615X";"3"
"276729";"0521795028";"6"
"276733";"2080674722";"0"
"276736";"3257224281";"8"
"276737";"0600570967";"6"
"276744";"038550120X";"7"
"276745";"342310538";"10"
"276746";"0425115801";"0"
"276746";"0449006522";"0"
"276746";"0553561618";"0"
"276746";"055356451X";"0"
"276746";"0786013990";"0"
"276746";"0786014512";"0"
"276747";"0060517794";"9"
"276747";"0451192001";"0"
"276747";"0609801279";"0"
"276747";"0671537458";"9"
"276747";"0679776818";"8"
"276747";"0943066433";"7"
"276747";"1570231028";"0"
"276747";"1885408226";"7"
"276748";"0747558167";"6"
"276748";"3442437407";"0"
"276751";"033390804X";"0"
"276751";"3596218098";"8"
"276754";"0684867621";"8"
"276755";"0451166892";"5"